i,model
0,0
1,0.11106770091734632
2,0.6517763473939632
3,0.9343404581128034
4,0.19218977890520306
5,0.4165921089517403
6,0.01646107935338184
7,0.3998921572135652
8,-0.0010000518172152
9,1.048800975654552
10,1.207500684349277
11,-0.0062267274686916285
12,-0.5217862000591398
13,-0.4736985238118333
14,-1.6413925933676565
15,-0.6459737989680389
16,-0.38695627845047387
17,-0.7847966763849202
18,0.12960045280934465
19,-0.40044031156222476
20,0.36808139742982915
21,0.6177121287041144
22,-0.11169003712804723
23,-0.6285052623119012
24,0.5071562386948929
25,-0.6268457101522584
26,-0.5808170689011718
27,-0.1966907820822402
28,0.6547729943441144
29,0.986425825156288
30,-0.9519315796176483
31,0.17578187451156668
32,-0.5393294708496504
33,-0.14914803433273924
34,-0.49957936927434143
35,-0.20093113818708494
36,0.7628726262363769
37,-0.3908421118981865
38,-1.0607453868711623
39,-0.60501171679686
40,0.6646720909605504
41,0.8719741560784121
42,0.6615270305286698
43,-0.7607077405328189
44,0.004810142387428579
45,-0.659932688496614
46,-0.6435430608675989
47,-0.6243549402494047
48,-1.0417475605919524
49,-0.3248360433579684
50,0.4068151642032965
51,1.0177708189304648
52,1.1085414270876068
53,1.3105845076977172
54,1.094559246455172
55,1.3680204144433588
56,1.3793173621693615
57,0.5593999251092558
58,0.24440062853899366
59,-0.1132268480349373
60,0.39225012695703476
61,0.39886343848434536
62,-0.03705916149058547
63,-0.38791589696387
64,0.8405816560055174
65,1.367066168593151
66,0.16840233279817846
67,0.6197210813918059
68,-0.12185208109754633
69,0.016241125004292884
70,0.20848027434969543
71,0.5779422447281892
72,-1.4175867086049294
73,-0.772380086744054
74,-0.3631327934541242
75,-1.2199615057978275
76,0.08811234960915426
77,-0.2215449612412067
78,-0.4359304732856164
79,0.7612510406550871
80,0.5431979847465386
81,0.22726823671243107
82,-0.7187938920749479
83,-0.13409802768551066
84,0.013849576068167849
85,-0.2851992220136538
86,-0.010811859312104405
87,-1.7137060405550737
88,-0.43940012837240655
89,-0.8880038578185561
90,-0.17761501555198167
91,-0.09723934637376674
92,0.31522268971662243
93,-0.10226754254236602
94,-0.15031861959069592
95,0.8662133462824841
96,-0.827109837631522
97,-0.8227570461037338
98,-0.2710800972598903
99,-0.453682511441193
100,0.45983976414274563
101,0.16227085444305178
102,0.9951695094877107
103,0.5713696437283187
104,0.3668603267467385
105,-0.4106845518371738
106,-1.365540860638395
107,-0.04188976525520499
108,-0.3461179053554838
109,-0.06084571782684031
110,-0.590799447380704
111,0.5074562652729635
112,-0.35714688537941175
113,-0.10738552724097869
114,0.1519282681414647
115,-0.7748966950793167
116,-0.7373467063563817
117,0.211171963563277
118,-0.5306671433163164
119,-1.0394593048125393
120,-0.8742100803928934
121,-0.6137655502455469
122,0.19257579561944
123,-0.7035918517857872
124,-0.3287696520876949
125,-0.7565092385499617
126,-0.3853978622563742
127,-0.6119683990544867
128,0.5418774097960763
129,0.09964671906386464
130,-0.8516286743759911
131,-0.3538399175818946
132,0.4505966204023731
133,-0.3679812653859253
134,-0.5140235916784085
135,-0.6576451009940404
136,0.670771025904441
137,0.1513960787066204
138,-0.03419288528447201
139,-0.01753089840153427
140,-0.30150500670797503
141,-0.11057883720639988
142,-0.19377156356769054
143,0.5101560882048308
144,0.17067922276236033
145,0.26401518542234204
146,0.114915367150562
147,0.570030892364498
148,0.3390779191290368
149,-0.6092180837712307
150,-0.08268984655810975
151,-0.7615858002575292
152,-0.33210607933541625
153,-0.5399707339293871
154,-0.5030656367880456
155,-1.0672049596207267
156,-0.858957084079638
157,0.9744375629810774
158,0.28014648809538456
159,0.01721813646893594
160,-0.28202486747558264
161,1.277056774128219
162,-0.7523626143679578
163,-1.3915007222024718
164,-0.054499829029228064
165,-0.11613678003555372
166,-0.1228145328349649
167,0.14252591069264073
168,-0.5918193139231984
169,0.6602406142961472
170,0.5823810227913127
171,0.2949357908037265
172,0.27685288162454724
173,0.7411233869867714
174,0.07134573793344096
175,0.32854593325110665
176,-0.46110503038846706
177,-0.10931718416382114
178,0.88712157081441
179,0.3886750139410351
180,-0.41227251782386426
181,-0.620618899968725
182,0.23659833481064252
183,0.13783145925894083
184,0.9067550264236612
185,0.046308888061423775
186,0.27455182425321956
187,-0.9502199770902219
188,-0.39222540871301304
189,-2.4714899070715988
190,-0.7634130526807278
191,-1.8875077751362268
192,0.13414777398509503
193,-0.12998143652280367
194,-0.13993465766892138
195,0.09369112026854823
196,0.274137464993906
197,0.04552686169685115
198,0.2643784990570673
199,0.8391897245786962
200,-0.6841668548026054
201,0.6732747156052082
202,0.6606164708921178
203,-0.06006853413296284
204,0.4906412158040074
205,0.5044174649522217
206,-1.141326786788738
207,0.8172386711016599
208,0.2788324326962669
209,0.6147398951587956
210,0.5634142977304459
211,0.4654938469656561
212,0.5805572278730078
213,0.383434045059909
214,0.7224611349262331
215,0.012422570730582505
216,-0.9086616672557056
217,0.0331046915681352
218,-0.7244894630837746
219,-0.004213242971979336
220,-0.5311697254962974
221,-1.1925350817184894
222,-0.8871070767722076
223,-0.3111454429454233
224,0.036830240079837845
225,0.040144817227173064
226,0.10911800424642215
227,-0.35503170582188964
228,-1.0552821255859752
229,-0.32569819455503546
230,5.7546110388301264e-05
231,0.36866152461018953
232,0.6168549372343797
233,-0.14588798908402423
234,0.37261333182631856
235,-0.799447760447499
236,0.2469682471683969
237,0.0569742049782078
238,-0.06124237861584705
239,-0.08975120246092498
240,0.5918571726026565
241,0.2548394606647622
242,-1.0147056175084421
243,0.14042509010676263
244,-0.04094967660169951
245,0.6838134496614252
246,1.3063344457770352
247,-0.09705098150941105
248,0.3143059256868704
249,0.7327515217717403
250,0.6420523050603864
251,0.46117265863956103
252,1.029512561228125
253,0.3544766665698486
254,0.5657092388301281
255,0.6735092690155897
256,-0.29839653682388606
257,0.8656832350546884
258,-0.39988572954162493
259,-0.5297961197089913
260,0.24898647382405642
261,-0.6498295761684733
262,-0.6589859199779114
263,0.5771995665808668
264,-0.15296210176566682
265,-0.2719181349179399
266,0.48235820970145815
267,0.94887771584586
268,0.031954465935010945
269,0.6151169251408284
270,1.1069679970740949
271,-0.6889255615212551
272,-0.17947919542272986
273,-0.16775090969331619
274,-0.8759439471557027
275,-0.8675319493293498
276,0.13146670827089474
277,0.4697868125014033
278,0.06364045840028179
279,-0.5622294369676623
280,0.10282082991045796
281,-0.3306265209701527
282,0.0937226256674172
283,0.33674806857245687
284,-0.20853320070575052
285,0.15432793613919737
286,0.503180120416427
287,0.26339317266967227
288,-0.41404624097652626
289,-0.1200531985380913
290,-0.22032327625719855
291,-0.16744164661258581
292,0.5836327128491358
293,-0.1747051224691537
294,-1.1467167710968798
295,-0.46687344454655144
296,-0.14423516506907438
297,-0.10976917176551992
298,0.19080375558847495
299,0.10286454718402643
300,0.13729369265013883
301,-0.8526173790835778
302,0.48396475240588654
303,-0.12749839111156003
304,-0.43960439659196154
305,-1.1531789506382766
306,-0.40577640720880487
307,-1.1612298791181868
308,-0.4965416528137777
309,0.3341078876691178
310,0.06977314716465755
311,1.1822695858921595
312,1.2295567728734293
313,0.9734456226263893
314,0.13517583481269643
315,-0.08565375464758454
316,0.26925625071267434
317,0.1723876050788758
318,-0.403874219073845
319,0.4433774002941687
320,0.043416609821406056
321,1.212756741492109
322,0.3762162883336693
323,0.15331433144215822
324,0.10471630232418697
325,0.2732179883830599
326,0.6496045998957253
327,0.4916080974961988
328,-0.049969934792865156
329,-0.1071473301739582
330,0.0353702180435785
331,-1.0041441720376436
